,Estado,Celular,Televisão por assinatura,Acesso a internet no próprio domicílio,Acesso a internet por 3g ou 4g,Acesso por banda larga,Renda
95331,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95333,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95342,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95367,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95378,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95379,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95382,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95386,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95388,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95389,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95391,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95392,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95393,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95396,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95397,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95399,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95400,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95402,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95404,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95405,São Paulo,Sim,Sim,Sim,Sim,Sim,Acima de 20000 reais
95406,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95407,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95408,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95421,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95422,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95424,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95429,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95430,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95431,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95432,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95439,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95445,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95448,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95449,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95453,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95454,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95457,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95458,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95460,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95463,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95464,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95465,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95466,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95469,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95470,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95473,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95478,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95484,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95490,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95491,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95498,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95501,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95502,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95506,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95509,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95510,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95550,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95553,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95554,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95556,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95557,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95591,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95592,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95593,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
